id_wind_d,nilai_wind_d
WD1572,197.3
WD1573,191.2
WD1574,208
WD1575,208.4
WD1576,202
WD1577,199.9
WD1578,203.2
WD1579,187
WD1580,217.8
WD1581,195.4
WD1582,172.5
WD1583,208.6
WD1584,202
WD1585,153.7
WD1586,193.2
WD1587,183.9
WD1588,197.9
WD1589,205
WD1590,167.3
WD1591,178.6
WD1592,116.5
WD1593,143.9
WD1594,133.9
WD1595,111.9
WD1596,148.6
WD1597,124.5
WD1598,108.8
WD1599,87.4
WD1600,89.6
WD1601,89.2
WD1602,109.2
WD1603,108.8
WD1604,91.3
WD1605,94.3
WD1606,97.4
WD1607,189
WD1608,185.6
WD1609,197.7
WD1610,176.7
WD1611,180.2
WD1612,135.3
WD1613,92.6
WD1614,135
WD1615,194.2
WD1616,184.1
WD1617,190.5
WD1618,197.9
WD1619,190.5
WD1620,147.7
WD1621,148.9
WD1622,154.8
WD1623,166.8
WD1624,171.9
WD1625,184.8
WD1626,185.7
WD1627,168.6
WD1628,159.8
WD1629,161.6
WD1630,169.3
WD1631,168.6
WD1632,165.5
WD1633,159.6
WD1634,163
WD1635,172.1
WD1636,179.2
WD1637,178
WD1638,184.1
WD1639,179.3
WD1640,191.3
WD1641,189.4
WD1642,195.2
WD1643,199.5
WD1644,194.6
WD1645,193.4
WD1646,179.7
WD1647,156.4
WD1648,174
WD1649,179.9
WD1650,172.3
WD1651,187
WD1652,200
WD1653,211.8
WD1654,213.1
WD1655,217.1
WD1656,218
WD1657,208.1
WD1658,209.3
WD1659,217.8
WD1660,221.7
WD1661,217.5
WD1662,222.6
WD1663,212
WD1664,196.6
WD1665,192.4
WD1666,183.1
WD1667,189.4
WD1668,187.1
WD1669,188.1
WD1670,188.6
WD1671,191.2
WD1672,190.8
WD1673,187.4
WD1674,190.8
WD1675,196.7
WD1676,193.7
WD1677,194.9
WD1678,193.1
WD1679,185.6
WD1680,181.8
WD1681,189.1
WD1682,194.9
WD1683,195.8
WD1684,197
WD1685,197.5
