id_sun_r,nilai_sun_r
SR1169,268.2
SR1170,244.9
SR1171,198.4
SR1172,169
SR1173,146.6
SR1174,129
SR1175,118.4
SR1176,103.2
SR1177,81.2
SR1178,55.8
SR1179,33.8
SR1180,20.9
SR1181,13.3
SR1182,3.2
SR1183,1.7
SR1184,0.6
SR1185,0.5
SR1186,0.7
SR1187,0.6
SR1188,0.6
SR1189,0.7
SR1190,0.5
SR1191,0.5
SR1192,0.6
SR1193,0.7
SR1194,0.6
SR1195,0.8
SR1196,0.7
SR1197,0.7
SR1198,0.4
SR1199,0.7
SR1200,0.5
SR1201,0.7
SR1202,0.6
SR1203,0.5
SR1204,0.7
SR1205,0.6
SR1206,0.7
SR1207,0.6
SR1208,0.7
SR1209,0.5
SR1210,0.6
SR1211,0.8
SR1212,0.6
SR1213,0.7
SR1214,0.6
SR1215,0.6
SR1216,0.6
SR1217,0.8
SR1218,0.6
SR1219,0.5
SR1220,0.6
SR1221,0.7
SR1222,0.7
SR1223,0.7
SR1224,0.6
SR1225,0.8
SR1226,0.8
SR1227,0.6
SR1228,0.7
SR1229,0.7
SR1230,0.6
SR1231,0.7
SR1232,0.8
SR1233,0.7
SR1234,0.6
SR1235,0.8
SR1236,0.7
SR1237,0.7
SR1238,0.7
SR1239,0.5
SR1240,0.5
SR1241,0.8
SR1242,0.7
SR1243,0.4
SR1244,0.7
SR1245,0.6
SR1246,0.6
SR1247,0.5
SR1248,0.7
SR1249,0.5
SR1250,0.8
SR1251,0.7
SR1252,0.8
SR1253,1.3
SR1254,4.6
SR1255,17.5
SR1256,27.7
SR1257,49.3
SR1258,75.4
SR1259,104.3
SR1260,134.3
SR1261,174.3
SR1262,234.1
SR1263,291.2
SR1264,352.5
SR1265,432.5
SR1266,487
SR1267,528.6
SR1268,565.2
SR1269,593
SR1270,620.9
SR1271,613.3
SR1272,678.1
SR1273,725
SR1274,777.5
SR1275,821.1
SR1276,865.8
SR1277,900.1
SR1278,905.4
SR1279,932.4
SR1280,1014.6
SR1281,1016.6
SR1282,1052.6
SR1283,973.7
SR1284,1011.2
SR1285,1035
SR1286,1051.4
SR1287,1060.9
SR1288,1076.1
SR1289,1084.1
SR1290,1073
SR1291,1051.7
SR1292,1040.7
SR1293,1047.8
SR1294,1055.4
SR1295,1044.3
SR1296,1008.5
SR1297,988.2
SR1298,1003.6
SR1299,988.4
SR1300,974.7
SR1301,924.1
SR1302,926.3
SR1303,909.6
SR1304,889
SR1305,779.2
SR1306,749.7
SR1307,676.1
SR1308,714.7
SR1309,709.4
SR1310,657.4
